id,x,y,party,color
214,0.133,0.108,4,C4
215,0.001,0.087,4,C4
216,-0.013,-0.048,4,C4
217,0.193,0.071,4,C4
218,0.166,0.091,4,C4
219,-0.190,0.090,4,C4
220,-0.025,0.249,4,C4
221,-0.063,-0.140,4,C4
222,-0.177,-0.141,4,C4
223,-0.222,-0.102,4,C4
224,0.020,0.015,4,C4
225,0.228,0.087,4,C4
226,0.099,-0.056,4,C4
227,-0.033,0.113,4,C4
228,-0.235,-0.019,4,C4
229,-0.188,-0.129,4,C4
230,0.105,0.048,4,C4
231,0.137,-0.040,4,C4
232,-0.181,0.063,4,C4
233,-0.262,0.043,4,C4
234,0.021,0.019,4,C4
235,-0.231,0.252,4,C4
236,-0.070,0.172,4,C4
237,0.046,-0.024,4,C4
238,0.028,0.262,4,C4
239,0.197,0.042,4,C4
240,0.293,-0.243,4,C4
241,0.194,0.154,4,C4
242,-0.006,0.427,4,C4
243,0.089,-0.083,4,C4
244,-0.156,0.122,4,C4
245,-0.154,0.210,4,C4
246,0.012,-0.171,4,C4
247,-0.079,-0.067,4,C4
248,-0.203,0.279,4,C4
249,0.270,0.024,4,C4
